ID,Kürzel,Jahr,Titel,Band,Autor - Nachname,Vorname,Ort,Verlag,Kommentar,Zotero,Anmerkung,Zitat,Periode,Quelle_Typ,Quelle_Subtyp,Quelle_Spezifikation
Stowasser1997,Stowasser 1997,1997,Stowasser. Österreichische Schulausgabe. Lateinisch-deutsches Schulwörterbuch,,Stowasser,Joseph Maria (u.a.),Wien,öbv & hpt,,1,,,,Literatur,Fachliteratur,Wörterbuch
SüdhessWB_2,Südhess.Wb. 1969ff.,1969–1972,"Südhessisches Wörterbuch / begr. von Friedrich Maurer. Nach den Vorarbeiten v. Friedrich Maurer, Friedrich Stroh u. Rudolf Mulch bearb. v. Rudolf Mulch. 2. E–G",Band 3,Mulch,Rudolf,Marburg,N. G. Elwert,,,,,,Literatur,Fachliteratur,Wörterbuch
Süß1865 (Salzb.Volksl.1865),Süß 1865,1865,Salzburger Volks-Lieder mit ihren Singweisen,,Süß,Maria Vinzenz,Salzburg,Verlag der Mayrischen Buchhandlung,,,,,,Literatur,Literar.Text,Lieder
Süß1867,Süß 1867,1867,"Nachtrag zu ""Salzburger Volks-Lieder mit ihren Singweisen 1965"" in Jahres-Bericht des Vaterländischen Museums Carolino Augusteum zu Salzburg 1867, Anhang (NA 1995)",,Süß,Maria Vinzenz,Salzburg,,,,,,,Literatur,Literar.Text,Lieder
Szmudits1961,Szmudits 1961,1961,Die Mundart von Mattersburg. Eine wortsoziologische und sprachbiologische Untersuchung. Diss. (masch.),,Szmudits,Friederike,Wien,,,1,,,,Literatur,Fachliteratur,Dissertation
Taschner1969,Taschner 1969,1969,Die Mundart von Aldein in Südtirol,,Taschner,Elisabeth,Wien,,,,,,,Literatur,,
Tatzreiter1967,Tatzreiter 1967,1967,Die Bezeichnung „Feitel“ (Taschenmesser) und ihre sinnverwandten Ausdrücke in den bairischen Mundarten Österreichs. In: Mundart und Geschichte 1967. 163–174,,Tatzreiter,Herbert,,,,,,,,Literatur,,
TirolerHeimatbl,Tiroler Heimatbl.,1924–1941. 1947–lfd.,Tiroler Heimatblätter. Zeitschrift für Heimatpflege in Nord- und Osttirol,,Verein für Heimatschutz und Heimatpflege in Nord- und Osttirol,,Innsbruck,,(1923-1925; Wiessner)?,1,Wiessner als Autor? ,,,Literatur,,
TirolerSonntagspost,Tiroler Sonntagspost,1950,"Tiroler Sonntagspost. Heimatzeitung und amtliches Nachrichtenblatt [später mit zahlreichen Zusätzen, u.a.: Unabhängige Tiroler Wochenzeitung]",Nr. 11,,,Kufstein [später Wörgl],,,,,,,Literatur,Journalist.Text,Zeitung
TirolerWb,Tiroler Wb.,1993,Wörterbuch der Tiroler Mundarten. Unveränd. Nachdr. d. 1. Ausg (= Schlern-Schriften 119–120),2 Bände,Schatz/(Finsterwalder),Josef/(Karl),Innsbruck,Wagner,,1,Sollten die zwei Bände einzeln angegeben werden?,,,Literatur,Fachliteratur,Wörterbuch
TirolischesId1866,Tirolisches Id. 1866,1866,Tirolisches Idiotikon,,Schöpf/(Hofer),Johann Baptist/(Anton),Innsbruck,Wagner,,1,,,,Literatur,,
Treccani_online,Treccani online,,Treccani Vocabolario,,Istituto della Enciclopedia Italiana,,,,,1,,,,Literatur,,
Trummer1841,Trummer 1841,1841,Systematische Classification und Beschreibung der im Herzogthume Steiermark vorkommenden Rebensorten,,"Trummer/(K. k. Landwirthschafts-Gesellschaft in Steiermark, Hrsg.)",Franz,Graz,Leykam,"1855: ""Nachtrag zur systematischen Classification und Beschreibung der im Herzogthum Steiermark vorkommenden Rebensorten""",1,,,,Literatur,,
VWB2016,VWB 2016,2016,"Variantenwörterbuch des Deutschen. Die Standardsprache in Österreich, der Schweiz, Deutschland, Liechtenstein, Luxemburg, Ostbelgien und Südtirol sowie Rumänien, Namibia und Mennonitensiedlungen. 2., völlig neu bearbeitete und erweiterte Auflage",,Ammon/Bickel/Lenz (Hrsg.),Ulrich/Hans/Alexandra N. (u.a.),Berlin / Boston,De Gruyter,,1,,,,Literatur,Fachliteratur,Wörterbuch
Wagnleithner1921,Wagnleithner 1921,1921,'s Linsád-Liad,,Wagnleithner,Georg,Grieskirchen,Preßvereinsdruckerei,,,,,,Literatur,Literar.Text,Lieder
WBÖ1970I,WBÖ 1970 I,1970,Wörterbuch der bairischen Mundarten in Österreich (WBÖ) (=Bayerisch-Österreichisches Wörterbuch I. Österreich),Band 1: A–Azor,Kranzmayer,Eberhard (u.a.),Wien,Kommissionsverlag der Österreichischen Akademie der Wissenschaften,,1,,,,Literatur,Fachliteratur,Wörterbuch
WBÖ1976II,WBÖ 1976 II,1976,Wörterbuch der bairischen Mundarten in Österreich (WBÖ) (=Bayerisch-Österreichisches Wörterbuch I. Österreich),Band 2: B(P)–Bezirk,Kranzmayer,Eberhard (u.a.),Wien,Verlag der Österreichischen Akademie der Wissenschaften,,1,,,,Literatur,Fachliteratur,Wörterbuch
WBÖ1983III,WBÖ 1983 III,1983,Wörterbuch der bairischen Mundarten in Österreich (WBÖ) (=Bayerisch-Österreichisches Wörterbuch I. Österreich),Band 3: Pf–C,Hornung/Bauer,Maria/Werner (u.a.),Wien,Verlag der Österreichischen Akademie der Wissenschaften,,1,,,,Literatur,Fachliteratur,Wörterbuch
WBÖ1998IV,WBÖ 1998 IV,1998,Wörterbuch der bairischen Mundarten in Österreich (WBÖ) (=Bayerisch-Österreichisches Wörterbuch I. Österreich),"Band 4: D,T–tętzig",Bauer ,Werner (u.a.),Wien,Verlag der Österreichischen Akademie der Wissenschaften,,1,,,,Literatur,Fachliteratur,Wörterbuch
WBÖ2015V,WBÖ 2015 V,2015,Wörterbuch der bairischen Mundarten in Österreich (WBÖ) (=Bayerisch-Österreichisches Wörterbuch I. Österreich),Band 5: deu–Ęzzes,Bauer/Geyer,Werner/Ingeborg (u.a.),Wien,Verlag der Österreichischen Akademie der Wissenschaften,,1,,,,Literatur,Fachliteratur,Wörterbuch
WBÖBeiheft2,WBÖ-Beiheft 2,2005,"Wörterbuch der bairischen Mundarten in Österreich. Beiheft Nr. 2. Erläuterungen zum Wörterbuch. Lautschrift, Abkürzungsverzeichnis, Literatur- und Quellenverzeichnis, Gebietsverzeichnis, Gemeindeverzeichnis (mit einer Übersichtskarte und 6 Detailkarten zum Gebietsverzeichnis)",,Institut für österreichische Dialekt- und Namenlexika (Dinamlex) (Hrsg.),,Wien,Verlag der Österreichischen Akademie der Wissenschaften,,1,,,,Literatur,Fachliteratur,Wörterbuch
Wehle1974,Wehle 1974,1974,Die Wiener Gaunersprache. Diss. (masch.),,Wehle,Peter,Wien,,,1,,,,Literatur,Fachliteratur,Dissertation
Wehle1980,Wehle 1980,1980,Sprechen Sie Wienerisch? von Adaxl bis Zwutschkerl. Erweiterte und bearbeitete Neuausgabe,,Wehle,Peter,Wien / Heidelberg,Ueberreuter,,,,,,Literatur,Fachliteratur,Wörterbuch
Weinheber1953ff.,Weinheber 1953ff.,1953-1956,"Sämtliche Werke. Hg. von Nadler, Josef und Weinheber, Hedwig",5 Bände,Weinheber,Josef,Salzburg,,,,,,,Literatur,,
Werle1884,Werle 1884,1884,Almrausch. Almliada aus Steiermark,,Werle,Anton,Graz,Kienreich,,1,,,,Literatur,Literar.Text,Lieder
WeststeirischesWb1987,Weststeirisches Wb. 1987,1987,Weststeirisches Wörterbuch. Grammatik und Wortschatz nach Sachgruppen (=Schriften zur deutschen Sprache in Österreich 13–14),,Hutterer/Kainz/Walcher,Claus Jürgen/Walter/Eduard,Wien / Köln / Graz,Böhlau,,1,,,,Literatur,Fachliteratur,Wörterbuch
Winteler1889,Winteler 1889,1889,"Ueber die verbindung der ableitungssilbe got. -atj-, ahd. -azz- mit guttural ausgehenden staemmen resp. wurzeln. In: Beiträge zur Geschichte der deutschen Sprache und Literatur 14. 455-472",,Winteler,Jost,,,,,,,,Literatur,Fachliteratur,Wiss.Zeitschriftenartikel
WrWb1929,WrWb. 1929,1929,Wörterbuch des Wiener Dialekts,,Jakob,Julius,,,,,,,,Literatur,Fachliteratur,Wörterbuch
WrWb1951,WrWb. 1951,1951,Alt-Wienerisch. Ein Wörterbuch veraltender und veralteter Wiener Ausdrücke und Redensarten der letzten sieben Jahrzehnte.,,Schuster,Mauriz,Wien,,,,,,,Literatur,Fachliteratur,Wörterbuch
WrWb2002,WrWb. 2002,2002,"Wörterbuch der Wiener Mundart. 2., erw. u. verb. Aufl. mit mehr als 1000 neuen Stichwörtern und Ergänzungen",,Hornung/Grüner,Maria/Sigmar,Wien,öbv & hpt,,1,,,,Literatur,Fachliteratur,Wörterbuch
WSJP_online,WSJP online,2007–,Wielki słownik języka polskiego. Online,,,,Warszawa,Instytut Języka Polskiego PAN,https://wsjp.pl/,,,,,Literatur,,
Zöhrer1883,Zöhrer 1883,1883,"Allálai christligö Gsánger und Gspiel in der oberösterreichischen Volksmundart. Erläutert und hg. von Fellöcker, Sigmund",Band 1,Zöhrer,Eduard,Linz,,,,,,,Literatur,,
ZÖV1897_3,"ZÖV 1897, 3",1897,Zeitschrift für österreichische Volkskunde 1897 (3),Jahrgang 3,,,Wien,Verein für österreichische Volkskunde,,,,,,Literatur,Fachliteratur,Wiss.Zeitschrift
ZÖV1909_15,"ZÖV 1909, 15",1909,Zeitschrift für österreichische Volkskunde 1909 (15),Jahrgang 15,,,Wien,Verein für österreichische Volkskunde,,,,,,Literatur,Fachliteratur,Wiss.Zeitschrift
ZÖV1926_33,"ZÖV 1926, 33",1926,Zeitschrift für österreichische Volkskunde 1926 (33),Jahrgang 33 ,,,,,,,,,,Literatur,Fachliteratur,Wiss.Zeitschrift
ZÖVSuppl.1,ZÖV Suppl. 1,1900,"Zeitschrift für österreichische Volkskunde, Supplementheft 1",Supplementheft 1 zum Jahrgang 6 der ZÖV,,,Wien,Verein für österreichische Volkskunde,,,,,,Literatur,Fachliteratur,Wiss.Zeitschrift
Hösler2018,Hösler 2018,2018,Gottschee. In: Online-Lexikon zur Kultur und Geschichte der Deutschen im östlichen Europa. URL: http://ome-lexikon.uni-oldenburg.de/p32559,,Hösler,Joachim,Oldenburg,Universität Oldenburg,http://ome-lexikon.uni-oldenburg.de/p32559,,,,,Literatur,Fachliteratur,Lexikon
Schiffer1930,Schiffer 1930,1930,Gereimte Dorfweisheit. In: Tiroler Heimatblätter 8/7. S. 243–244. URL: https://ulb-digital.uibk.ac.at/obvuibz/periodical/pageview/9505827,,Schiffer,Hartmann,,,https://ulb-digital.uibk.ac.at/obvuibz/periodical/pageview/9505827,,,,,Literatur,,
,,,,,,,,,,,,,,Erhebung,große_Fragebögen,
,,,,,,,,,,,,,,Erhebung,Ergänzungsfragebögen,
,,,,,,,,,,,,,,Erhebung,Kundfahrten,
,,,,,,,,,,,,,,Erhebung,Fragebucherhebungen,
,,,,,,,,,,,,,,Sonstige,Sonstige,Sonstige
