ID,Kürzel,Jahr,Titel,Band,Autor - Nachname,Vorname,Ort,Verlag,Kommentar,Zotero,Anmerkung,Zitat,Periode,Quelle_Typ,Quelle_Subtyp,Quelle_Spezifikation
Nestroy1925,Nestroy 1925,1925,Sämtliche Werke. Historisch-kritische Gesamtausgabe. ,Band 5: Die politischen Komödien,Nestroy/Brukner/Rommel,Johann/Fritz/Otto,Wien,Schroll,,,,,,Literatur,,
Neubauer1962,Neubauer 1962,1962,Mia Heanznleut. Geschichten in der Mundart des südlichen Burgenlandes.,Lebendiges Wort. Kleinbücher in österreichischer Mundart 15,Neubauer,Hans,Wels,,,,,,,Literatur,Literar.Text,Prosa
Neuner1966,Neuner 1966,1966,Redensarten und Bedeutungswandlungen aus Ungenach im Hausruckviertel in Oberösterreich. Diss. (masch.),,Neuner,Anna Marie,Wien,,,1,,,,Literatur,Fachliteratur,Dissertation
NişanyanSözlük_online,Nişanyan Sözlük online,,Çağdaş Türkçenin Etimolojisi [siehe https://www.nisanyansozluk.com/],,Nişanyan ,Sevan ,,,,,,,,Literatur,,
NöMdaDichtg.1931,NöMdaDichtg. 1931,1931,"Dichtungen in niederösterreichischer Mundart. Mit einem Anhang aus dem Burgenland, Südmähren und dem Böhmerwald ",,Hg. von Bacher,Karl [u. a.],Wien,,,,,,,Literatur,,
Nöstlinger1974,Nöstlinger 1974,1974,Iba de gaunz oaman kinda. Gedichte von Christine Nöstlinger,,Nöstlinger,Christine,Wien / München,Jugend und Volk,,1,,,,Literatur,Literar.Text,Gedichte
ÖBL1969IV,ÖBL 1969 IV,1969,Österreichisches Biographisches Lexikon 1815-1950,Band 4: Knolz–Lan,ÖAW (Hrsg.)/(Bruckmüller)/(Gruber),(Ernst)/(Christine),Graz / Köln,Hermann Böhlaus Nachf.,,1,,,,Literatur,,
OöWb2014,Oö. Wb. 2014,2014,Wörterbuch zur oberösterreichischen Volksmundart. 8. unveränderte Auflage,,Jungmair/Etz,Otto/Albrecht,Ried im Innkreis,Stelzhamerbund,,1,"""Oö. Wb. 2014"" --> wirklich mit Leerzeichen dazwischen?",,,Literatur,Fachliteratur,Wörterbuch
ÖWB2016,ÖWB 2016,2016,Österreichisches Wörterbuch. 43. Aufl.,,Pabst/Fussy/Steiner,Christiane M./Herbert/Ulrike,Wien,Österreichischer Bundesverlag Schulbuch GmbH & Co. KG,,1,,,,Literatur,Fachliteratur,Wörterbuch
Pailler1881I,Pailler 1881 I,1881,Weihnachtlieder und Krippenspiele aus Oberösterreich und Tirol,"Band 1: Weihnachtslieder aus Oberösterreich, mit 38 Singweisen",Pailler (Hrsg.),Wilhelm,Innsbruck,Wagner,,1,,,,Literatur,Literar.Text,Lieder
Pailler1883II,Pailler 1883 II,1883,Weihnachtlieder und Krippenspiele aus Oberösterreich und Tirol,"Band 2: Krippenspiele, mit 31 Singweisen",Pailler (Hrsg.),Wilhelm,Innsbruck,Wagner,,1,,,,Literatur,Literar.Text,Lieder
